WT1_H3K4me3	WT2_H3K4me3	WT1_H3K27me3	WT2_H3K27me3	K4	K27	cluster	dis
Vars2	5.9087	5.7815	1.7307	1.6466	5.8451	1.6887	1	0.1775
4930500F10Rik	6.0045	5.8793	1.5331	1.8184	5.9419	1.6758	1	0.1776
Tars	5.8376	5.7834	1.4494	1.715	5.8105	1.5822	1	0.1786
Retsat	5.7864	5.8339	1.4834	1.688	5.8102	1.5857	1	0.1789
Mfsd1	5.7463	5.825	1.5003	1.715	5.7857	1.6077	1	0.1792
Ubr1	6.0014	5.925	1.6429	1.7933	5.9632	1.7181	1	0.1792
Kctd13	5.848	5.7204	1.7587	1.8307	5.7842	1.7947	1	0.1804
4933427E11Rik	5.7683	5.6746	1.5494	1.7933	5.7215	1.6713	1	0.1809
Gm16796	5.8988	5.8938	1.5811	1.9264	5.8963	1.7537	1	0.1821
Gorab	5.7981	5.6786	1.5331	1.7018	5.7383	1.6174	1	0.1825
E330011M16Rik	5.8677	5.9023	1.745	1.688	5.885	1.7165	1	0.183
Avl9	5.8333	5.8947	1.7587	1.715	5.864	1.7369	1	0.183
Ubald2	5.8954	5.7537	1.7587	1.8671	5.8245	1.8129	1	0.1831
Atp5l2-ps	5.7963	5.7253	1.6581	1.6323	5.7608	1.6452	1	0.184
Scly	5.7756	5.7934	1.5003	1.6604	5.7845	1.5803	1	0.1863
Vmn1r4	5.8158	5.9579	1.6875	1.8307	5.8868	1.7591	1	0.1866
Aktip	5.8506	5.8366	1.4494	1.688	5.8436	1.5687	1	0.188
Oaz3	5.8254	5.8698	1.4834	1.6604	5.8476	1.5719	1	0.1885
Abi2	5.9733	5.9241	1.6581	1.6745	5.9487	1.6663	1	0.1887
Ccdc43	5.9219	5.8392	1.5811	1.949	5.8805	1.765	1	0.1895
Vps4b	5.9333	5.9191	1.6126	1.6323	5.9262	1.6224	1	0.1896
Zmynd19	5.9518	5.7658	1.5494	1.9264	5.8588	1.7379	1	0.1899
Acad12	5.9276	5.9432	1.6875	1.8671	5.9354	1.7773	1	0.1903
Ptdss2	5.8202	5.731	1.7587	1.688	5.7756	1.7233	1	0.1912
2010110E17Rik	6.0464	5.8392	1.6276	1.7018	5.9428	1.6647	1	0.1918
Tmem170	5.7638	5.9141	1.5003	1.7416	5.8389	1.6209	1	0.192
Mri1	5.8896	5.9217	1.6126	1.6182	5.9056	1.6154	1	0.1928
AC154550.1	5.7998	5.6527	1.6727	1.7018	5.7262	1.6872	1	0.1933
Gm38037	5.8761	5.9797	1.6875	1.8184	5.9279	1.753	1	0.1936
Gtf3a	5.8025	5.6697	1.7163	1.8307	5.7361	1.7735	1	0.1939
Exoc7	5.9542	5.8793	1.6875	1.9146	5.9168	1.801	1	0.1945
Mtfr1	5.8016	5.8663	1.5656	1.9377	5.834	1.7517	1	0.1953
Dym	6.0076	5.9258	1.6727	1.8184	5.9667	1.7455	1	0.1957
Rb1	5.8219	5.7224	1.4494	1.7286	5.7721	1.589	1	0.1961
Rabepk	5.7954	5.8097	1.4834	1.6466	5.8026	1.565	1	0.1962
Pskh1	5.9788	5.8767	1.745	1.8432	5.9278	1.7941	1	0.1968
Jrk	5.7564	5.6667	1.6429	1.8432	5.7116	1.7431	1	0.197
Fam208a	5.7564	5.706	1.5331	1.8671	5.7312	1.7001	1	0.1973
Ccnyl1	5.9079	5.6385	1.5969	1.8671	5.7732	1.732	1	0.1974
Wdr18	6.0084	5.9006	1.5331	1.8432	5.9545	1.6881	1	0.1976
Wdfy1	6.013	5.8025	1.7022	1.8793	5.9078	1.7908	1	0.1985
Aph1a	6.0092	5.8879	1.7307	1.7933	5.9485	1.762	1	0.1992
Gm3625	5.955	5.8232	1.4834	1.6466	5.8891	1.565	1	0.1998
Gm26730	5.9502	5.8741	1.6875	1.9264	5.9122	1.8069	1	0.1999
Nnt	5.7998	5.6507	1.6727	1.688	5.7252	1.6803	1	0.2003
2900076A07Rik	5.75	5.8034	1.7727	1.7677	5.7767	1.7702	1	0.2003
Itsn2	5.9582	5.8277	1.4834	1.6466	5.8929	1.565	1	0.2016
Dnaaf5	5.9835	5.7574	1.7163	1.6466	5.8705	1.6815	1	0.2032
Bms1	5.7472	5.8672	1.5003	1.6745	5.8072	1.5874	1	0.2036
Hsdl2	5.8871	5.9797	1.6126	1.8793	5.9334	1.746	1	0.204
2310001K24Rik	5.7665	5.8034	1.4668	1.8671	5.785	1.6669	1	0.204
Gm15983	5.978	5.833	1.5656	1.9377	5.9055	1.7517	1	0.2043
Elmod3	5.7873	5.8339	1.4494	1.688	5.8106	1.5687	1	0.2046
Pum2	6.0169	5.8955	1.5003	1.7803	5.9562	1.6403	1	0.2046
Zfp3	5.86	5.8515	1.7999	1.8432	5.8558	1.8215	1	0.2047
Snrpc	5.8131	5.8681	1.6727	1.949	5.8406	1.8108	1	0.2048
Adamts10	5.8938	5.7695	1.8135	1.7803	5.8316	1.7969	1	0.2048
Etfb	6.0199	5.8707	1.6276	1.6466	5.9453	1.6371	1	0.205
Qsox2	5.738	5.7649	1.4668	1.7416	5.7514	1.6042	1	0.2052
Ap2a1	6.0069	5.9341	1.5331	1.8057	5.9705	1.6694	1	0.2052
Gm45233	6.0199	5.8707	1.5969	1.6466	5.9453	1.6218	1	0.2052
Mapk3	5.8812	5.7185	1.7163	1.6182	5.7999	1.6673	1	0.2053
Srebf1	5.9227	5.8489	1.4319	1.7018	5.8858	1.5668	1	0.2057
Ss18l2	5.8158	5.7185	1.6276	1.949	5.7671	1.7883	1	0.2059
Arhgef11	6.0022	5.9316	1.7163	1.7677	5.9669	1.742	1	0.2079
Psmb4	6.013	5.8637	1.7163	1.6745	5.9384	1.6954	1	0.2082
Kif16b	5.8454	5.6707	1.6429	1.6182	5.758	1.6306	1	0.2092
Gm27646	5.814	5.8052	1.4834	1.6182	5.8096	1.5508	1	0.2096
4833404L02Rik	5.806	5.6191	1.5494	1.7545	5.7126	1.6519	1	0.2098
Gm2479	5.9137	5.6746	1.4668	1.715	5.7941	1.5909	1	0.21
Orai1	5.9137	5.6746	1.4668	1.715	5.7941	1.5909	1	0.21
Pycr2	5.951	5.8133	1.5331	1.949	5.8822	1.741	1	0.2101
Rnf14	5.8963	5.9082	1.6126	1.5893	5.9023	1.6009	1	0.2105
Txn2	5.9235	5.816	1.4147	1.8184	5.8698	1.6166	1	0.2109
Pola2	5.8643	5.7898	1.4147	1.7018	5.827	1.5582	1	0.2118
Gm10785	5.7918	5.6119	1.6126	1.7933	5.7018	1.7029	1	0.2118
Gm26515	5.7801	5.6253	1.6727	1.7677	5.7027	1.7202	1	0.2118
Adprh	5.9292	5.8374	1.4834	1.6182	5.8833	1.5508	1	0.2119
Dcp1b	5.8803	5.9481	1.4668	1.8307	5.9142	1.6487	1	0.2121
Cyb561d2	5.8896	5.9636	1.4834	1.8307	5.9266	1.657	1	0.2127
Serinc1	5.8557	5.9489	1.6875	1.6323	5.9023	1.6599	1	0.2132
Atp6v1c1	5.8193	5.7751	1.4147	1.8184	5.7972	1.6166	1	0.2132
Akip1	5.7647	5.6537	1.7163	1.7803	5.7092	1.7483	1	0.2134
Park7	5.8359	5.904	1.4319	1.7286	5.8699	1.5802	1	0.2135
Ipo5	5.9243	5.763	1.4147	1.7286	5.8437	1.5716	1	0.2149
Tmem165	6.0084	5.7962	1.4494	1.7933	5.9023	1.6214	1	0.215
Ube2z	6.0599	5.8972	1.5656	1.7545	5.9786	1.66	1	0.215
Frmd8	5.7546	5.6687	1.5811	1.6604	5.7116	1.6207	1	0.2152
Donson	5.7909	5.6108	1.5969	1.8057	5.7009	1.7013	1	0.2153
Cdipt	6.0827	5.8286	1.6429	1.7933	5.9557	1.7181	1	0.2154
D3Ertd254e	5.7088	5.6727	1.5969	1.7286	5.6908	1.6628	1	0.216
Nprl2	5.8871	5.9685	1.4834	1.8307	5.9278	1.657	1	0.2161
Scamp3	5.8761	5.8357	1.6429	1.5597	5.8559	1.6013	1	0.2164
Gm45212	5.8471	5.9082	1.4494	1.8671	5.8777	1.6583	1	0.2164
D830044I16Rik	6.0842	5.8286	1.6429	1.7933	5.9564	1.7181	1	0.2168
Cyld	5.9574	5.9612	1.7307	1.8184	5.9593	1.7746	1	0.2169
Arl6ip5	5.7792	5.6476	1.5003	1.7933	5.7134	1.6468	1	0.2172
Fitm2	5.75	5.7888	1.5811	1.949	5.7694	1.765	1	0.2178
Dcp1a	5.8803	5.8759	1.4494	1.6466	5.8781	1.548	1	0.218
Rab5c	6.0472	5.9116	1.6875	1.7933	5.9794	1.7404	1	0.2184
Mkln1	5.8228	5.7185	1.5494	1.5893	5.7707	1.5694	1	0.2185
Zfp322a	5.8007	5.8339	1.8135	1.8184	5.8173	1.816	1	0.2188
Tmco4	6.0449	5.8672	1.6276	1.891	5.9561	1.7593	1	0.2192
Ythdf1	5.9693	5.6953	1.7587	1.7018	5.8323	1.7303	1	0.2192
Flywch1	5.7003	5.6756	1.5811	1.7933	5.688	1.6872	1	0.2192
9130011E15Rik	5.8289	5.8374	1.5331	1.5748	5.8332	1.5539	1	0.2194
Slc35c2	6.026	5.9489	1.6581	1.8184	5.9875	1.7383	1	0.2195
Fpgs	5.9087	5.8312	1.5003	1.5893	5.87	1.5448	1	0.2196
Ccdc84	5.7619	5.6865	1.517	1.6604	5.7242	1.5887	1	0.2198
Adpgk	5.959	6.0044	1.6429	1.7416	5.9817	1.6923	1	0.2201
Zfp566	5.9004	5.9258	1.6276	1.5893	5.9131	1.6084	1	0.2204
Zfp30	5.8096	5.7537	1.4319	1.8671	5.7816	1.6495	1	0.2207
Csnk1e	6.0245	5.6855	1.6727	1.688	5.855	1.6803	1	0.2207
Acadl	5.8887	5.787	1.4834	1.949	5.8379	1.7162	1	0.2212
A230060F14Rik	5.8523	5.8955	1.7587	1.9146	5.8739	1.8366	1	0.2227
Mkln1os	5.8272	5.7185	1.5331	1.5893	5.7728	1.5612	1	0.2229
Zfp609	5.7971	5.6201	1.5656	1.688	5.7086	1.6268	1	0.2232
Cetn4	5.684	5.6875	1.5969	1.7545	5.6857	1.6757	1	0.2237
Emp1	5.9446	5.8672	1.8135	1.8057	5.9059	1.8096	1	0.2238
Rad23a	5.8052	5.6914	1.5494	1.6041	5.7483	1.5767	1	0.2238
Rhot1	5.9381	5.9555	1.6126	1.6182	5.9468	1.6154	1	0.224
Zfp281	5.9112	5.6835	1.5656	1.949	5.7974	1.7573	1	0.2245
Gm43439	5.683	5.6875	1.5969	1.7545	5.6852	1.6757	1	0.2245
Bbs12	5.683	5.6875	1.5969	1.7545	5.6852	1.6757	1	0.2245
Tmem50a	5.7221	5.6914	1.5003	1.7286	5.7067	1.6144	1	0.2245
Prdx1	5.9316	6.0239	1.6126	1.7677	5.9778	1.6901	1	0.2252
Gm45693	5.9333	5.9749	1.5331	1.6604	5.9541	1.5967	1	0.2258
Hdac4	5.9243	5.8428	1.3967	1.7677	5.8835	1.5822	1	0.2261
Wdr74	5.8745	5.9917	1.745	1.7677	5.9331	1.7563	1	0.2268
Smyd5	5.7792	5.6627	1.7587	1.8057	5.7209	1.7822	1	0.227
Dad1	5.7747	5.6806	1.4834	1.6745	5.7276	1.5789	1	0.2277
Gm45736	5.8745	5.9941	1.745	1.7677	5.9343	1.7563	1	0.2288
n-R5s67	5.9021	5.904	1.4319	1.8671	5.903	1.6495	1	0.2289
2810408I11Rik	5.9145	5.6396	1.5656	1.9146	5.777	1.7401	1	0.229
Aen	6.0107	5.8655	1.7862	1.7677	5.9381	1.7769	1	0.2294
Stil	5.6974	5.6825	1.5331	1.7933	5.69	1.6632	1	0.2296
Haus6	5.8454	5.7989	1.5811	1.545	5.8221	1.563	1	0.231
Tusc3	5.7927	5.7989	1.3967	1.7933	5.7958	1.595	1	0.2319
Mtmr10	5.8437	5.8947	1.4668	1.9264	5.8692	1.6966	1	0.232
Ebag9	5.7537	5.7195	1.5494	1.6041	5.7366	1.5767	1	0.2321
Nol12	5.8193	5.8524	1.3967	1.8184	5.8358	1.6076	1	0.2323
Gm45444	5.9161	5.7934	1.5969	1.545	5.8548	1.571	1	0.2324
Kat5	5.9518	5.9603	1.5969	1.9264	5.9561	1.7617	1	0.2325
Gm37364	5.9534	5.9374	1.7587	1.6745	5.9454	1.7166	1	0.2331
Ubac1	5.8167	5.7797	1.4494	1.6182	5.7982	1.5338	1	0.2332
Adat3	5.9406	5.9391	1.5494	1.6041	5.9398	1.5767	1	0.2336
Scamp4	5.9406	5.9391	1.5494	1.6041	5.9398	1.5767	1	0.2336
Impact	5.7435	5.9225	1.5003	1.6604	5.833	1.5803	1	0.2346
Nsfl1c	5.7389	5.6677	1.4834	1.8057	5.7033	1.6445	1	0.2346
Setd6	5.7846	5.7224	1.4147	1.7416	5.7535	1.5781	1	0.2349
Grn	5.7426	5.6263	1.5494	1.7286	5.6844	1.639	1	0.2351
Dld	5.8728	5.7546	1.4319	1.6323	5.8137	1.5321	1	0.2352
Tbc1d12	6.0382	5.9057	1.5003	1.8432	5.9719	1.6717	1	0.2354
Endov	5.9693	5.8947	1.7587	1.903	5.932	1.8309	1	0.2356
Galnt1	5.7774	5.6657	1.745	1.6745	5.7215	1.7097	1	0.2358
Rad54l2	5.7407	5.6746	1.6429	1.9146	5.7077	1.7787	1	0.2362
Rpap3	5.8497	5.8268	1.4668	1.5893	5.8382	1.528	1	0.2363
Tbcd	5.7032	5.6707	1.5656	1.8552	5.6869	1.7104	1	0.2369
Tmem192	5.6389	5.7797	1.5811	1.7933	5.7093	1.6872	1	0.2374
Smim10l1	5.75	5.8707	1.5494	1.5893	5.8103	1.5694	1	0.2374
AC122317.2	5.7692	5.763	1.7163	1.5893	5.7661	1.6528	1	0.2375
Fam168b	5.7546	5.6637	1.5331	1.6466	5.7091	1.5898	1	0.2375
Ifnar1	5.9046	5.8784	1.3967	1.715	5.8915	1.5559	1	0.2377
Zfand2a	5.9913	5.776	1.5656	1.5748	5.8837	1.5702	1	0.2378
Pus1	5.7592	5.6139	1.6727	1.715	5.6866	1.6938	1	0.2379
Cog3	5.9999	5.9571	1.745	1.7545	5.9785	1.7497	1	0.238
Osbp	5.9422	5.6825	1.4319	1.715	5.8124	1.5735	1	0.2382
Cwc25	5.9796	5.8577	1.4494	1.6466	5.9186	1.548	1	0.2386
Eif1	5.9945	5.9972	1.6727	1.8184	5.9959	1.7455	1	0.2387
Gm16275	5.7022	5.6756	1.7022	1.8307	5.6889	1.7664	1	0.2392
Tmem214	5.9984	5.9563	1.4834	1.7286	5.9773	1.606	1	0.2392
Swap70	5.8988	5.8801	1.84	1.7677	5.8895	1.8038	1	0.2395
Cenpa	5.8761	5.7565	1.3785	1.7803	5.8163	1.5794	1	0.2406
N4bp1	6.0739	5.8741	1.6126	1.6604	5.974	1.6365	1	0.2408
Tmem183a	5.8753	5.8097	1.7727	1.5893	5.8425	1.681	1	0.2424
Idnk	5.7445	5.6253	1.6276	1.6745	5.6849	1.651	1	0.2426
Coq10b	5.8668	5.904	1.8135	1.6745	5.8854	1.744	1	0.2428
Ybx3	6.0153	5.9407	1.5969	1.9146	5.978	1.7557	1	0.2432
Oxsm	5.7963	5.8454	1.4147	1.6604	5.8208	1.5375	1	0.2433
Rbm34	5.8506	5.7751	1.5003	1.5597	5.8128	1.53	1	0.2437
Arhgap19	5.9037	5.7367	1.7862	1.6182	5.8202	1.7022	1	0.2438
Lyst	5.6458	5.7508	1.6727	1.7286	5.6983	1.7006	1	0.2439
Ppp2r3a	5.781	5.8179	1.6581	1.9939	5.7994	1.826	1	0.2439
B930036N10Rik	5.967	5.904	1.4668	1.6323	5.9355	1.5495	1	0.2442
Mrpl1	5.6898	5.7518	1.5494	1.6323	5.7208	1.5908	1	0.2444
Fbxo21	5.9251	5.8142	1.7022	1.9939	5.8697	1.848	1	0.2449
Dnal4	5.9186	5.9258	1.7999	1.8671	5.9222	1.8335	1	0.2452
Naf1	5.8437	5.704	1.4319	1.6466	5.7739	1.5393	1	0.2452
Trmt44	5.9137	5.8115	1.84	1.688	5.8626	1.764	1	0.2452
Blm	6.0191	5.9191	1.6581	1.9264	5.9691	1.7922	1	0.2453
Dapk1	5.9365	5.6845	1.6875	1.9605	5.8105	1.824	1	0.2453
Mpzl1	5.7314	5.6283	1.7022	1.7416	5.6799	1.7219	1	0.2456
Gm26920	5.9021	5.9266	1.6126	1.5597	5.9144	1.5862	1	0.2457
Ccdc93	5.7674	5.705	1.5969	1.5748	5.7362	1.5859	1	0.2458
Abhd4	5.771	5.6786	1.4668	1.6604	5.7248	1.5636	1	0.2462
1700120C14Rik	5.9952	5.8947	1.7727	1.6604	5.945	1.7166	1	0.2466
Elac2	5.8854	5.8827	1.4668	1.5893	5.8841	1.528	1	0.2468
Gm12359	5.9796	5.9158	1.4319	1.7018	5.9477	1.5668	1	0.2479
Med21	6.0806	5.9283	1.6126	1.715	6.0044	1.6638	1	0.2484
Rexo2	5.8887	5.8286	1.4319	1.6041	5.8586	1.518	1	0.249
Gm25343	5.9202	5.8079	1.7163	1.9939	5.8641	1.8551	1	0.2492
Ccdc107	5.7164	5.706	1.7587	1.8552	5.7112	1.807	1	0.2495
Platr23	5.8988	5.6766	1.517	1.9605	5.7877	1.7388	1	0.2501
Cdk2	6.0161	5.9399	1.4834	1.688	5.978	1.5857	1	0.2502
Slc20a2	5.8376	5.7405	1.3785	1.7286	5.789	1.5535	1	0.2504
Ccdc28b	5.8963	5.6108	1.5494	1.6323	5.7536	1.5908	1	0.2504
Rad52	5.7333	5.7089	1.4494	1.688	5.7211	1.5687	1	0.2505
Zfp623	5.9725	5.7714	1.84	1.7677	5.8719	1.8038	1	0.2505
Atg4c	5.7891	5.8637	1.745	1.9605	5.8264	1.8528	1	0.2506
Dusp12	5.9606	5.9677	1.6429	1.6041	5.9641	1.6235	1	0.2507
Gm15287	5.9333	6.0494	1.6126	1.7545	5.9913	1.6835	1	0.2508
4930540M05Rik	5.7333	5.7079	1.4494	1.688	5.7206	1.5687	1	0.2509
Lsm4	5.7583	5.8034	1.4494	1.9264	5.7809	1.6879	1	0.2522
Ndc80	5.8488	5.9497	1.4147	1.715	5.8993	1.5648	1	0.2524
Mettl4-ps1	5.848	5.9497	1.4147	1.715	5.8989	1.5648	1	0.2525
Supt20	5.7435	5.8793	1.6727	1.5748	5.8114	1.6237	1	0.253
Gpatch2l	6.013	5.8715	1.4319	1.8552	5.9423	1.6435	1	0.2532
Ehbp1	6.0014	5.8896	1.8135	1.7933	5.9455	1.8034	1	0.2533
